0列,1列,2列,3列,4列,5列,6列,7列,8列,9列,10列,11列,12列,13列,14列,15列,16列,17列,18列,19列,20列,21列,22列,23列,24列,25列,26列,27列,28列,29列,30列,31列,32列,33列,34列,35列,36列,37列,38列,39列,40列,41列,42列,43列,44列,45列,46列,47列,48列,49列,50列,51列,52列,53列
-0.719997406,-0.420001984,-0.540000916,-0.773750305,-0.004570961,-0.319999695,-1.349998474,-0.14666748,-0.245231628,-2.459999084,0.159996033,-0.093330383,-0.819999695,-0.289999962,0.170000076,-0.700000763,-0.700214386,-0.920001984,-0.385000229,-0.800003052,-0.5,-0.740001678,0.290000916,0,-0.023332596,-0.396190643,-0.704998016,0.079999924,-0.680000305,-0.279998779,-0.879997253,-48,-0.577697754,-0.540000916,-2.739997864,-0.034285784,-0.979999542,-0.809999466,-1.129999161,-0.685112,-1.130001068,-0.400001526,-0.380001068,-0.5,-0.350002289,-0.549999237,-0.209999084,0.049999237,0.258869171,-0.840000153,0.125,-0.229999542,-0.075000763,-0.634998322
0.165000916,0.38999939,-0.01499939,-0.205825806,-0.141682625,0.090000153,0.11000061,-0.149999619,0.108991623,0.520000458,0.760002136,0.21333313,-0.149997711,0.289999962,0.109998703,0.859996796,0.072280884,0.359996796,0.265001297,0.75,0.200000763,0.669998169,0.699998856,0.270000458,0.263332367,0.055932999,-0.284999847,-0.375,0.150001526,0.439998627,-0.86000061,4.199951172,0.682735443,0.190002441,-0.25,0.009285808,-0.029998779,0.120000839,-0.039999008,0.289855957,0.170001984,1.149997711,0.11000061,-0.169998169,0.039997101,0.210002899,0.329998016,0.060001373,0.038352966,0.760002136,0.060001373,0.300001144,0.359998703,0.540000916
1.075000763,0.61000061,1.100002289,0.522188187,0.532449722,0.440000534,0.239997864,-0.116666794,0.231608391,2.909999847,1.489997864,0.946666718,0.779998779,0.830000877,0.270000458,0.63999939,1.129375458,0.569999695,0.379999161,3.169998169,0.399999619,0.590000153,0.75,1.740001678,0.46333313,1.104675293,0.674999237,0.159999847,0.350000381,0.270000458,0.680000305,13,1.050361633,0.349998474,1.790000916,0.015714288,0.350002289,1,0.719999313,1.475627899,0.549999237,0.349998474,0.319999695,0.879997253,0.709999084,-0.259998322,0.479999542,0.510002136,1.275165558,0.25,0.86000061,0.650001526,0.180000305,0.549999237
-0.025001526,-0.279998779,-0.059997559,0.114347458,-0.21252346,0.140001297,0.279998779,-0.016666412,-0.08174324,0.290000916,-0.050003052,0.099998474,0.290000916,-0.100000381,0.079999924,-1.119998932,-0.320739746,0.290000916,-0.100000381,1.599998474,-0.010000229,0.049999237,0.270000458,0.770000458,-0.109998703,-0.027965546,0.279998779,0.209999084,-0.309999466,-0.174999237,-0.100002289,5,-0.271343231,0,-0.63999939,0,-0.280002594,0.069999695,-0.010000229,-3.610012054,0.099998474,0.740001678,0.159999847,0.390003204,0.349998474,-0.050003052,-0.829998016,0.029998779,0.412273407,0.599998474,0.044998169,-0.219997406,-0.030000687,-1.075000763
-0.120002747,-0.240001678,0.150001526,0.266811371,0.237660408,-0.210000992,-0.319999695,0.170000076,0,0.919998169,-0.770004272,-0.326667786,-0.310001373,-0.160000801,-0.350000381,-0.410003662,-0.230392456,0.090000153,-0.180000305,0.239997864,-0.13999939,-0.310001373,-0.190002441,0.180000305,-0.066665649,0.13983345,-0.130001068,0.085000992,-0.100000381,-0.114999771,0.239997864,-25.40002441,0,-0.099998474,0.150001526,-0.032142878,-0.529998779,-0.25,-0.930000305,-0.052703857,0.229999542,-0.630001068,0.050003052,-0.25,-0.13999939,-0.129997253,-0.209999084,-0.050003052,-0.70949173,-1.159999847,-0.224998474,-0.13999939,-0.025001526,-0.549999237
0.415000916,0.680000305,0.294998169,0.438333511,0.050273895,0.059999466,0.459999084,0.010000229,-0.15440464,0.409999847,-0.150001526,0.180000305,-0.400001526,0.240000725,0.050001144,-0.189998627,0.203289032,0.309997559,-0.020000458,1.099998474,-0.279998779,-0.100002289,0.060001373,0.280002594,0.086666107,0.228393555,0.189998627,0.010000229,-0.370000839,0.170000076,0.059997559,-16.80004883,-0.175060272,0.194999695,0.36000061,-0.021428466,0.209999084,-0.180000305,-0.299999237,-0.790512085,-0.369998932,0.449996948,0.569999695,0.159999847,0.11000061,-0.200000763,-0.160001755,0.259998322,-0.067111969,-0.529998779,0.224998474,-0.100002289,-0.034999847,0.25
-0.824996948,-0.560001373,-0.655002594,-0.095291138,0.331353188,-0.450000763,0.11000061,-0.483333588,-0.158946037,-0.649997711,-0.439994812,-0.599998474,-0.380001068,-0.43999958,-0.039999008,-1.130001068,-0.442714691,-0.020000458,-0.245000839,-1.180000305,-0.159999847,-0.709999084,-0.069999695,-0.330001831,-0.063333511,-0.13051033,-0.415000916,-0.234998703,-0.329999924,-0.274999619,-0.619998932,-19.80004883,-0.770263672,-0.259998322,-1.849998474,-0.02642858,-0.599998474,-0.359998703,-0.239999771,0.079051971,0.369998932,-0.229999542,-0.079998016,-0.289997101,0,-0.38999939,-0.329999924,-0.509998322,-0.70949173,-0.189998627,-1.175003052,-0.439998627,-0.164999008,-1.150001526
-0.794998169,-0.709999084,-0.625,-0.918590546,-0.235374451,-0.030000687,-0.930000305,0.056666374,-0.272480011,-0.710002899,-1.199996948,-0.379997253,-0.479999542,-0.180000305,-0.020000458,-1.830001831,-0.153594971,-0.779998779,0.159999847,-0.599998474,-0.61000061,0.459999084,0.009998322,0.520000458,0.106668472,-0.214410782,0.709999084,0.654998779,-0.100000381,-0.015001297,-0.319999695,2.800048828,-0.008750916,-0.25,-0.659996033,0.022857189,-0.600002289,-0.5,-1.270000458,-0.052703857,-0.299999237,-0.510002136,0.069999695,-0.170001984,0.350002289,-0.310001373,0.469999313,-0.050003052,0,-0.950000763,0.61000061,0.420000076,-0.11000061,-1.36000061
-0.064998627,-0.350002289,0.049999237,-0.266809464,-0.031992912,-0.460000992,-0.840003967,-0.196666718,-0.213442802,-2.460002899,0.559997559,-0.060001373,-0.5,-0.11000061,-0.050001144,-0.949996948,0.266532898,-0.560001373,0.055000305,0.430000305,-0.329999924,0.090000153,-0.049999237,0.040000916,-0.113332748,-0.181781769,-0.404998779,-0.135000229,-0.170000076,-0.069999695,-0.200000763,-12,-0.13129425,-0.095001221,-1.760002136,-0.066428661,-1.030002594,-0.819999695,-0.479999542,-0.052703857,0.270000458,-0.770000458,0.430000305,-0.540000916,-0.680000305,0.209999084,-0.299999237,0.049999237,0.680728912,0.260002136,-0.215000153,0.090000153,0.024999619,-0.134998322
0.540000916,0.779998779,0.790000916,0.964330673,0.269652367,0.159999847,-0.11000061,-0.070000648,-0.136239052,0.930000305,-0.829994202,0.066665649,0.259998322,0.070000648,0.020000458,0.25,0.311706543,0.330001831,-0.015001297,0.529998779,0.329999924,0.119998932,0.160003662,0.409999847,0.203334808,0.261018753,0.659999847,0.51499939,0.179998398,0.225000381,-0.149997711,-2.800048828,0.350120544,0.375,-0.029998779,0.004999995,0.090000153,0,-0.75,0.421607971,-0.020000458,-0.459999084,0.159999847,-0.020000458,0.259998322,0.330001831,-0.049999237,0.119998932,0.728668213,1.229999542,0.305000305,-0.220001221,0.430000305,0.73500061
